Season,FILE NAME,TIME,DATE,DATETIME,DEPTH_m,SP_COND_µS_CM-1,TDS_MG_L-1,DO_PercSat,DO_mg_L-1,PH,TEMP_degC,TURBIDITY_FNU,d13C_DIC,d18O,d2H,Chloride_mg_L-1,Nitrate_mg_L-1,Phosphate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,Aluminum_ug_L-1,Chromium_ug_L-1,Copper_ug_L-1,Arsenic_ug_L-1,Selenium_ug_L-1,Cadium_ug_L-1,Antimony_ug_L-1,Barium_ug_L-1,Thallium_ug_L-1,Lead_ug_L-1,Beryllium_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1,GPP_mgO2_L-1_hr-1,R_mgO2_L-1_hr-1,NEP_mgO2_L-1_hr-1,KO2_m_day-1
Fall,SL-11,10:00:00 AM,10/20/2024,10/20/2024 10:00,0.131,150.3,98,87.7,8.65,7.59,15.195,1.98,-7.57,-7.62,-51.6,1.851,,,4.742,23.2,0.921,5.75,1.123,-0.005,1.893,3.47,54,12,1.814,0.316,0.571,0.372,0,0.037,0.032,30.267,0.568,0,-0.001,5.405,22.29,16.88,5.388957157,-5.241544917,0.14741224,0.426
Fall,SL-12,2:00:00 PM,10/20/2024,10/20/2024 14:00,0.104,153.2,100,91.9,8.7,7.7,17.988,2.39,-7.19,-7.51,-51.45,1.796,,,4.69,23.1,0.954,5.73,1.11,0,1.917,3.49,46,11,2.287,0.475,0.485,0.45,1.084,0.034,0.032,35.198,0.308,0,0,5.506,22.18,16.68,9.981099356,-6.673209747,3.30788961,0.629
Fall,SL-13,6:00:00 PM,10/20/2024,10/20/2024 18:00,0.095,155.8,101,89.9,8.62,7.81,17.386,1.31,-7.27,-7.58,-51.32,1.829,,,4.764,23,0.88,5.72,1.118,-0.004,1.911,3.46,45,10,1.516,0.176,0.252,0.313,0,0.03,0.021,24.987,0.189,0,-0.001,5.607,22.28,16.67,3.019079948,-6.573645174,-3.554565227,0.635
Winter,SL-1,6:00:00 PM,2/7/2025,2/7/2025 18:00,0.123,118.7,77,94.4,10.03,8,11.197,4.18,-9.24,-6.09,-34.96,1.926,,,6.06,16.2,0.548,4.18,1.179,0.049,2.003,2.45,74,41.247,7.178,0.091,1.252,0.263,0.005,0.203,0.066,15.071,0.831,0.062,0.008,2.639,16.02,13.38,0,-1.512363818,-1.512363818,0.530010455
Winter,SL-2,10:00:00 PM,2/7/2025,2/7/2025 22:00,0.137,118.2,77,93.8,10.04,7.61,10.883,7.54,-9.39,-6.11,-35.13,1.848,,,6.038,16.2,0.536,4.19,1.13,0.062,2.012,2.44,81,45.869,15.296,0.118,1.613,0.266,0.056,0.252,0.055,14.75,0.457,0.063,0.006,2.751,16.07,13.32,0,-1.520097071,-1.520097071,0.432127141
Winter,SL-3,2:00:00 AM,2/8/2025,2/8/2025 2:00,0.135,118.7,77,92.3,9.91,7.57,10.675,4.06,-9.96,-6.07,-34.97,1.871,,,6.104,16.6,0.525,4.22,1.132,0,1.972,2.43,82,50.523,8.322,0.122,1.357,0.584,0.16,1.91,0.046,15.695,0.336,0.069,0.007,2.553,16.02,13.47,0,-1.657200299,-1.657200299,0.398572085
Winter,SL-4,6:00:00 AM,2/8/2025,2/8/2025 6:00,0.153,118.2,77,89.9,9.96,7.54,10.562,4.27,-9.84,-6,-34.72,1.91,,,6.181,16.8,0.386,4.22,1.177,0.003,1.926,2.37,90,57.652,7.969,0.096,0.567,0.248,0.069,0.146,0.037,15.055,0.231,0.032,0.005,2.813,16.27,13.45,0,-1.873467737,-1.873467737,0.657964974
Winter,SL-5,10:00:00 AM,2/8/2025,2/8/2025 10:00,0.165,120,78,91.9,10.36,7.65,10.944,7.27,-9.71,-6.06,-34.96,1.889,,,6.14,16.4,0.475,4.17,1.087,0,2.074,2.36,84,41.313,10.53,0.102,1.414,0.233,-0.07,0.2,0.048,15.352,0.195,0.069,0.005,2.445,16.09,13.65,2.267992998,-2.062152213,0.205840786,0.884874152
Winter,SL-6,2:00:00 PM,2/8/2025,2/8/2025 14:00,0.134,120.4,78,93.6,10.37,7.83,11.323,4.35,-9.73,-6.02,-34.81,1.85,,,6.064,16.2,0.455,4.11,1.111,0.018,1.97,2.42,83,41.141,8.766,0.11,2.108,0.247,-0.074,0.342,0.042,15.484,0.133,0.093,0.005,2.525,16.14,13.62,3.48264819,-2.321160267,1.161487923,1.891125468
Winter,SL-7,6:00:00 PM,2/8/2025,2/8/2025 18:00,0.125,117,76,92.6,10.25,7.71,11.461,4.04,-9.2,-6.03,-34.86,1.898,,,6.171,16.2,0.424,4.11,1.091,0.007,2.002,2.42,80,31.968,7.917,0.132,2.949,0.239,0.084,0.116,0.035,15.743,0.119,0.039,0.005,2.473,15.93,13.46,0.351478731,-2.307624113,-1.956145382,1.364572218
Winter,SL-8,10:00:00 PM,2/8/2025,2/8/2025 22:00,0.133,117.2,76,92.1,10.01,7.55,11.158,3.77,-9.6,-6.1,-35.21,1.857,,,6.065,16.4,0.435,4.18,1.146,0.039,2.007,2.39,85,46.485,20.891,0.214,2.07,0.263,0.104,0.298,0.033,15.426,0.095,0.039,0.005,2.45,15.91,13.46,0,-2.203430966,-2.203430966,0.981493626
Winter,SL-9,2:00:00 AM,2/9/2025,2/9/2025 2:00,0.127,119.1,77,91.3,10.04,7.58,10.966,3.93,-10.07,-6.06,-35.04,1.806,,,5.949,16.5,0.493,4.18,1.156,0.049,1.998,2.33,92,46.566,12.193,0.178,1.283,0.261,-0.021,0.621,0.032,15.659,0.086,0.11,0.005,2.393,15.82,13.43,0,-1.54873839,-1.54873839,0.66973702
Winter,SL-10,6:00:00 AM,2/9/2025,2/9/2025 6:00,0.13,118.6,77,91.2,10.23,7.59,10.242,9.87,-9.87,-6.03,-34.89,1.922,,,6.228,16.9,0.464,4.26,1.245,0.041,2.085,2.38,105,46.718,10.526,0.182,1.811,0.257,0.112,1.8,0.034,14.76,0.075,0.049,0.005,2.468,16.21,13.74,0,-1.153595886,-1.153595886,0.604227697
Winter,SL-11,10:00:00 AM,2/9/2025,2/9/2025 10:00,0.131,119.1,77,93.4,10.45,7.65,10.373,4.14,-9.86,-6.04,-34.94,1.819,,,5.962,16.6,0.39,4.17,1.091,0.049,1.981,2.34,87,44.201,6.246,0.074,0.765,0.235,0.336,0.659,0.032,14.564,0.251,0.063,0.004,2.581,16.15,13.57,2.290335598,-0.726990979,1.563344619,0.51192825
Winter,SL-12,2:00:00 PM,2/9/2025,2/9/2025 14:00,0.104,120.1,78,95.5,10.7,7.71,10.698,9.39,-9.62,-5.92,-34.36,1.839,,,6.022,16.4,0.49,4.16,1.181,0,2.068,2.34,86,40.011,9.126,0.091,1.384,0.269,0.4,0.061,0.037,14.138,0.179,0.045,0.004,2.512,16.07,13.56,3.507376875,-1.405095698,2.102281177,0.518883818
Winter,SL-13,6:00:00 PM,2/9/2025,2/9/2025 18:00,0.095,119.8,78,94.5,10.61,7.68,10.592,3.83,-9.47,-5.93,-34.46,1.841,,,6.022,16.3,0.454,4.13,1.099,0.062,2.008,2.34,82,38.231,8.544,0.081,0.645,0.247,0.554,0.048,0.034,14.457,0.122,0.025,0.004,2.532,16.1,13.56,0.372003107,-1.240186866,-0.868183759,0.556675105
Spring,SL-1,6:00:00 PM,4/18/2025,4/18/2025 18:00,0.123,99,64,102.9,9.37,8.03,19.94,4.98,-9.87,-4.68,-26.38,1.54,0.13,0.14,4.97,13.5,0.03,3.28,0.98,0.0485,1.73,3.01,128.61,18.25,2.19,0.19,2.13,0.56,0.52,0.6,0.09,20.28,0.47,-0.06,0.01,3.78,15.13,11.34,3.163261128,-3.243061466,-0.079800339,1.330328696
Spring,SL-2,10:00:00 PM,4/18/2025,4/18/2025 22:00,0.137,99.3,65,101.7,9.32,7.7,19.61,3.03,-10.04,-4.71,-26.53,1.53,0.13,0.12,4.92,14.2,0.21,3.34,0.96,0.041,1.75,3,139.54,23.18,3.61,0.22,7.79,0.48,0.06,0.64,0.07,20.86,0.13,0.04,0.02,2.89,14.69,11.8,0,-3.077571443,-3.077571443,1.032144676
Spring,SL-3,2:00:00 AM,4/19/2025,4/19/2025 2:00,0.135,99.8,65,98.6,9.08,7.56,19.33,3.42,-10.29,-4.67,-26.3,1.54,0.13,0.11,4.92,14.3,0.22,3.44,0.93,0.0486,1.7,3.04,149.74,34.73,3.9,0.22,4.29,0.48,-0.02,0.58,0.07,20.02,0.1,0.04,0.01,2.81,14.43,11.62,0,-2.987832029,-2.987832029,0.998265596
Spring,SL-4,6:00:00 AM,4/19/2025,4/19/2025 6:00,0.153,99.9,65,94.1,8.71,7.49,19.13,2.74,-10.54,-4.62,-26.05,2.56,0.18,0.25,8.34,15.4,0.41,3.52,1.73,0.0676,2.84,2.99,147.26,61.58,2.21,0.22,8.58,0.43,-0.08,0.58,0.08,19.05,0.09,0.01,0.01,3.89,16.1,12.22,0,-2.897126237,-2.897126237,0.902699574
Spring,SL-5,10:00:00 AM,4/19/2025,4/19/2025 10:00,0.165,102.2,66,91.7,8.42,7.64,19.54,3.59,-10.47,-4.74,-26.6,1.53,,0.1,4.86,13.9,0.08,3.37,0.9,0.0345,1.7,2.96,137.89,28.76,1.89,0.26,1.58,0.47,0.1,0.65,0.08,22.29,0.06,0.11,0.01,3.06,15.07,12.01,6.270676864,-2.992962492,3.277714372,1.190512892
Spring,SL-6,2:00:00 PM,4/19/2025,4/19/2025 14:00,0.134,101,66,103.5,9.34,8.47,20.38,3.07,-9.97,-4.75,-26.65,1.53,,,4.9,13.8,0.01,3.36,0.88,0.0298,1.69,3.02,136.89,8.09,1.4,0.01,0.94,0.5,0.03,0.56,0.05,19.25,0.51,0,0.01,3.87,15.58,11.71,10.38518085,-3.239893619,7.145287233,1.06198289
Spring,SL-7,6:00:00 PM,4/19/2025,4/19/2025 18:00,0.125,103.2,67,105.1,9.34,8.17,21.17,3.17,-9.84,-4.7,-26.35,1.53,,0.1,4.86,13.2,0.08,3.29,0.97,0.0398,1.76,2.96,129.54,3.61,2.34,0.08,1.8,0.56,0.23,0.52,0.08,21.55,0.31,0.03,0.01,3.58,15.53,11.95,5.42755523,-3.30677849,2.12077674,0.871456528
Spring,SL-8,10:00:00 PM,4/19/2025,4/19/2025 22:00,0.133,105,68,102.4,9.11,7.67,21.13,2.64,-9.95,-4.7,-26.36,1.6,0.13,0.39,5,14.3,0.02,3.51,0.93,0.0235,1.74,3,122.38,4.17,0.52,0.03,0.92,0.45,-0.64,0.52,0.05,19.12,0.21,-0.01,0.01,3.94,17.04,13.1,0,-3.067954849,-3.067954849,0.78389845
Spring,SL-9,2:00:00 AM,4/20/2025,4/20/2025 2:00,0.127,103.7,67,99.2,8.9,7.55,20.71,3.02,-10.21,-4.73,-26.5,1.55,0.13,,4.93,14.4,0.07,3.47,0.93,0.0353,1.73,2.99,131.23,17.45,1.83,0.16,1.86,0.45,-0.13,0.51,0.08,19.93,0.17,0.02,0.01,3.86,15.97,12.11,0,-2.930501362,-2.930501362,0.694584514
Spring,SL-10,6:00:00 AM,4/20/2025,4/20/2025 6:00,0.13,103.5,67,98.6,8.96,7.53,20.03,5.48,-10.5,-4.75,-26.61,1.57,,0.1,4.94,14.6,0.02,3.48,0.91,0.0257,1.74,2.96,140.26,18.01,2.45,0.17,1.13,0.44,-0.24,0.47,0.05,20.42,0.13,0.1,0.01,3.82,15.89,12.07,0,-2.872548607,-2.872548607,0.676130802
Spring,SL-11,10:00:00 AM,4/20/2025,4/20/2025 10:00,0.131,104.2,68,98.8,8.79,7.68,21.08,7.05,-10.16,-4.58,-25.95,1.58,0.13,,4.93,13.7,0.01,3.46,0.91,0.0328,1.72,2.99,135.74,3.98,0.09,0.12,1,0.45,-0.4,0.47,0.05,18.9,0.1,-0.01,0.01,4.32,16.25,11.94,6.311224163,-3.034758347,3.276465816,0.62119863
Spring,SL-12,2:00:00 PM,4/20/2025,4/20/2025 14:00,0.104,106.1,69,104.6,9.18,8.69,21.78,2.56,-9.74,-4.64,-26.2,1.52,,,4.86,13.5,0.02,3.45,0.89,0.0302,1.71,2.95,130.01,2.73,0.85,0.19,0.97,0.45,-0.09,0.49,0.04,19.31,0.09,0,0.01,4.03,15.98,11.95,10.41312887,-3.287625018,7.125503848,1.538399061
Spring,SL-13,6:00:00 PM,4/20/2025,4/20/2025 18:00,0.095,104.3,68,114.3,9.95,8.3,22.22,2.86,-9.54,-4.63,-26.15,1.52,,,4.83,13.4,0.06,3.35,0.94,0.0321,1.77,2.95,128.68,0.53,0.21,0.2,2.75,0.56,0.08,1.06,0.05,19.56,0.08,0.11,0.01,4.11,16.17,12.06,5.454468954,-3.282886013,2.171582941,1.375980502
Summer,SL-1,6:00:00 PM,7/18/2025,7/18/2025 18:00,0.123,155.6,101,131.1,9.53,9.01,32.285,1.68,-7.27,-3.41,-19.98,2.212,0.125,0.159,3.348,21,0.796,4.66,1.486,0.023,1.34,3.13,153.707,0.356,9.257,0.501,7.021,0.857,0.345,0.606,0.01,26.837,0.673,0.063,-0.001,0.449,17.83,18.28,11.89008325,-11.49054079,0.399542468,0.75856084
Summer,SL-2,10:00:00 PM,7/18/2025,7/18/2025 22:00,0.137,158.4,103,101.5,7.55,8.37,30.911,4.58,-7.97,-3.66,-20.42,2.183,0.127,,3.18,28.5,0.548,5.17,0.923,0.061,1.498,2.27,166.404,0.571,4.877,0.576,3.934,0.744,0.722,0.583,0.077,29.338,0.382,0.046,-0.001,0.454,19.81,19.35,0,-11.33836218,-11.33836218,0.836800587
Summer,SL-3,2:00:00 AM,7/19/2025,7/19/2025 2:00,0.135,155.6,101,88.8,6.67,7.97,30.413,1.16,-8.16,-3.53,-19.4,2.059,0.126,,2.975,28.8,0.663,5.5,1.106,0.025,1.275,1.86,173.487,0.829,3.186,0.627,4.452,0.728,0.633,0.633,0.021,30.307,0.294,0.042,-0.002,1.338,20.64,19.3,0,-10.95432507,-10.95432507,0.775327818
Summer,SL-4,6:00:00 AM,7/19/2025,7/19/2025 6:00,0.153,160,104,75.2,5.7,7.76,29.759,1.38,-7.72,-3.61,-19.76,2.094,0.126,,2.996,29.1,0.527,5.65,1.04,0.024,1.138,2.34,233.588,1.024,2.995,0.704,3.548,0.747,1.036,0.584,0.012,33.048,0.215,0.03,-0.002,2.202,20.96,18.76,0,-10.89146707,-10.89146707,0.799467009
Summer,SL-5,10:00:00 AM,7/19/2025,7/19/2025 10:00,0.165,160.7,104,94,7.09,8.17,30.127,2.3,-7.53,-3.63,-19.98,2.101,0.125,,3.037,24.6,0.615,4.08,1.24,0.022,1.448,3.09,170.238,0.442,3.093,0.617,3.005,0.715,0.559,0.581,0.001,30.622,0.165,0.03,-0.002,1.868,21.27,19.4,18.43066485,-11.36551759,7.06514726,0.875303532
Summer,SL-6,2:00:00 PM,7/19/2025,7/19/2025 14:00,0.134,156.3,102,131.3,9.54,8.81,32.298,1.67,-6.75,-3.56,-19.65,2.116,0.125,,3.128,23.6,0.717,4.19,1.385,0.025,1.482,3.07,159.283,0.366,5.657,0.506,3.973,0.791,0.678,0.563,0.006,27.988,0.142,0.033,-0.003,1.278,20.13,18.85,29.5471661,-11.89330199,17.65386411,0.898097512
Summer,SL-7,6:00:00 PM,7/19/2025,7/19/2025 18:00,0.125,150.6,98,122.5,9.04,8.66,31.411,1.42,-7.27,-4.01,-21.74,2.118,0.129,,3.486,22.1,0.587,4.67,0.967,0.017,1.464,2.76,158.438,0.41,7.176,0.65,3.277,0.829,1.113,0.577,0.004,27.993,0.12,0.045,-0.003,2.073,21.41,19.34,17.49434049,-11.7622334,5.732107091,0.962326002
Summer,SL-8,10:00:00 PM,7/19/2025,7/19/2025 22:00,0.133,158.3,103,97.8,7.3,8.02,30.736,1.39,-7.69,-3.58,-19.71,2.101,0.125,,3.025,26.4,0.333,4.88,0.488,0.023,0.94,1.65,198.958,0.537,3.912,0.694,3.308,0.776,0.883,0.559,0.006,29.308,0.105,0.056,-0.004,1.541,20.82,19.28,0,-11.33487335,-11.33487335,0.940421538
Summer,SL-9,2:00:00 AM,7/20/2025,7/20/2025 2:00,0.127,158,103,87.8,6.62,7.95,30.105,0.98,-7.78,-3.66,-20.16,2.068,0.125,,2.979,27.5,0.43,5.54,0.722,0.027,1.122,2.09,201.646,1.138,3.7,0.614,2.866,0.743,0.829,0.567,0,29.273,0.094,0.034,-0.002,2.409,21.66,19.25,0,-11.0408327,-11.0408327,0.819996422
Summer,SL-10,6:00:00 AM,7/20/2025,7/20/2025 6:00,0.13,159.1,103,76.8,5.86,7.79,29.479,1.25,-7.94,-3.6,-19.7,2.066,0.125,,2.95,28.6,0.514,5.77,0.877,0.03,1.109,2.28,220.787,1.636,3.035,0.644,2.647,0.779,1.198,0.554,0.001,31.09,0.084,0.027,-0.002,2.87,22.35,19.48,0,-10.78288299,-10.78288299,0.75531055
Summer,SL-11,10:00:00 AM,7/20/2025,7/20/2025 10:00,0.131,158.8,103,95.6,7.16,8.15,30.477,1.42,-7.38,-3.58,-19.71,2.076,0.125,,2.976,25.2,0.654,3.66,1.39,0.021,1.267,2.97,193.842,0.531,3.289,0.572,3.29,0.774,0.875,0.549,0.003,27.921,0.536,0.033,-0.002,0.078,19.25,19.18,18.38572966,-11.29107519,7.094654466,1.029636035
Summer,SL-12,2:00:00 PM,7/20/2025,7/20/2025 14:00,0.104,150.4,98,139,9.95,9.05,33.22,1.74,-6.72,-3.47,-19.17,2.075,0.125,,2.884,23.4,0.768,3.38,1.439,0.03,1.339,3.11,185.584,0.466,5.527,0.59,2.9,0.881,1.028,0.55,0.006,25.172,0.333,0.034,-0.003,1.703,18.02,16.32,29.52107958,-11.85382938,17.6672502,1.04058542
Summer,SL-13,6:00:00 PM,7/20/2025,7/20/2025 18:00,0.095,146.4,95,124.8,9.06,8.75,32.38,1.07,-7.01,-3.39,-18.87,2.081,0.124,,3.011,22.1,0.611,2.52,1.187,0.022,1.376,2.72,178.284,0.428,6.251,0.56,3.741,0.906,1.311,0.529,-0.001,25.795,0.226,0.036,-0.003,2.112,19.06,16.94,17.45819729,-11.84499864,5.613198652,1.004593271
